tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2010-07-01,DKI1 (Bunderan HI),55,21,25,27,12,55,PM10,SEDANG
2010-07-02,DKI1 (Bunderan HI),62,22,37,66,19,66,O3,SEDANG
2010-07-03,DKI1 (Bunderan HI),64,15,34,76,20,76,O3,SEDANG
2010-07-04,DKI1 (Bunderan HI),56,13,46,51,23,56,PM10,SEDANG
2010-07-05,DKI1 (Bunderan HI),54,21,30,36,14,54,PM10,SEDANG
2010-07-06,DKI1 (Bunderan HI),55,20,34,35,19,55,PM10,SEDANG
2010-07-07,DKI1 (Bunderan HI),63,19,37,37,20,63,PM10,SEDANG
2010-07-08,DKI1 (Bunderan HI),74,18,71,43,22,74,PM10,SEDANG
2010-07-09,DKI1 (Bunderan HI),51,16,34,39,20,51,PM10,SEDANG
2010-07-10,DKI1 (Bunderan HI),55,16,44,34,20,55,PM10,SEDANG
2010-07-11,DKI1 (Bunderan HI),58,17,43,33,18,58,PM10,SEDANG
2010-07-12,DKI1 (Bunderan HI),61,16,43,64,29,64,O3,SEDANG
2010-07-13,DKI1 (Bunderan HI),66,15,36,33,21,66,PM10,SEDANG
2010-07-14,DKI1 (Bunderan HI),61,18,37,30,21,61,PM10,SEDANG
2010-07-15,DKI1 (Bunderan HI),63,17,31,31,15,63,PM10,SEDANG
2010-07-16,DKI1 (Bunderan HI),63,17,39,31,21,63,PM10,SEDANG
2010-07-17,DKI1 (Bunderan HI),81,20,41,43,23,81,PM10,SEDANG
2010-07-18,DKI1 (Bunderan HI),61,16,33,45,23,61,PM10,SEDANG
2010-07-19,DKI1 (Bunderan HI),53,14,35,37,21,53,PM10,SEDANG
2010-07-20,DKI1 (Bunderan HI),52,17,40,54,27,54,O3,SEDANG
2010-07-21,DKI1 (Bunderan HI),60,17,41,39,22,60,PM10,SEDANG
2010-07-22,DKI1 (Bunderan HI),62,18,39,60,22,62,PM10,SEDANG
2010-07-23,DKI1 (Bunderan HI),65,25,36,46,20,65,PM10,SEDANG
2010-07-24,DKI1 (Bunderan HI),55,17,30,45,17,55,PM10,SEDANG
2010-07-25,DKI1 (Bunderan HI),60,16,27,65,17,65,O3,SEDANG
2010-07-26,DKI1 (Bunderan HI),62,17,31,40,16,62,PM10,SEDANG
2010-07-27,DKI1 (Bunderan HI),49,13,31,29,11,49,PM10,BAIK
2010-07-28,DKI1 (Bunderan HI),57,22,44,59,24,59,O3,SEDANG
2010-07-29,DKI1 (Bunderan HI),63,14,40,38,20,63,PM10,SEDANG
2010-07-30,DKI1 (Bunderan HI),48,15,31,22,10,48,PM10,BAIK
2010-07-31,DKI1 (Bunderan HI),50,16,21,25,10,50,PM10,BAIK
2010-07-01,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA
2010-07-02,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA
2010-07-03,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA
2010-07-04,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA
2010-07-05,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA
2010-07-06,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA
