tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2015-02-01,DKI1 (Bunderan HI),42,5,16,30,12,42,PM10,BAIK
2015-02-02,DKI1 (Bunderan HI),---,6,48,38,21,48,CO,BAIK
2015-02-03,DKI1 (Bunderan HI),---,6,40,38,15,40,CO,BAIK
2015-02-04,DKI1 (Bunderan HI),58,5,33,36,23,58,PM10,SEDANG
2015-02-05,DKI1 (Bunderan HI),41,5,19,32,16,41,PM10,BAIK
2015-02-06,DKI1 (Bunderan HI),---,5,16,34,13,34,O3,BAIK
2015-02-07,DKI1 (Bunderan HI),51,6,18,39,14,51,PM10,SEDANG
2015-02-08,DKI1 (Bunderan HI),49,6,18,32,12,49,PM10,BAIK
2015-02-09,DKI1 (Bunderan HI),---,8,14,34,14,34,O3,BAIK
2015-02-10,DKI1 (Bunderan HI),---,9,---,13,---,13,O3,BAIK
2015-02-11,DKI1 (Bunderan HI),---,9,---,37,---,37,O3,BAIK
2015-02-12,DKI1 (Bunderan HI),61,9,36,40,19,61,PM10,SEDANG
2015-02-13,DKI1 (Bunderan HI),34,10,27,36,15,36,O3,BAIK
2015-02-14,DKI1 (Bunderan HI),7,8,35,40,16,40,O3,BAIK
2015-02-15,DKI1 (Bunderan HI),31,6,38,37,12,38,CO,BAIK
2015-02-16,DKI1 (Bunderan HI),6,6,56,35,18,56,CO,SEDANG
2015-02-17,DKI1 (Bunderan HI),12,5,22,36,13,36,O3,BAIK
2015-02-18,DKI1 (Bunderan HI),8,5,34,43,24,43,O3,BAIK
2015-02-19,DKI1 (Bunderan HI),11,7,16,41,13,41,O3,BAIK
2015-02-20,DKI1 (Bunderan HI),29,7,29,40,20,40,O3,BAIK
2015-02-21,DKI1 (Bunderan HI),24,9,60,57,20,60,CO,SEDANG
2015-02-22,DKI1 (Bunderan HI),18,8,28,57,12,57,O3,SEDANG
2015-02-23,DKI1 (Bunderan HI),8,11,16,46,12,46,O3,BAIK
2015-02-24,DKI1 (Bunderan HI),18,11,29,46,17,46,O3,BAIK
2015-02-25,DKI1 (Bunderan HI),15,7,24,56,18,56,O3,SEDANG
2015-02-26,DKI1 (Bunderan HI),17,7,28,82,31,82,O3,SEDANG
2015-02-27,DKI1 (Bunderan HI),10,7,29,75,21,75,O3,SEDANG
2015-02-28,DKI1 (Bunderan HI),66,6,38,39,19,66,PM10,SEDANG
2015-02-01,DKI2 (Kelapa Gading),34,3,30,34,11,34,PM10,BAIK
2015-02-02,DKI2 (Kelapa Gading),46,4,49,42,21,49,CO,BAIK
2015-02-03,DKI2 (Kelapa Gading),66,4,50,32,13,66,PM10,SEDANG
2015-02-04,DKI2 (Kelapa Gading),67,5,59,40,17,67,PM10,SEDANG
2015-02-05,DKI2 (Kelapa Gading),45,3,31,32,17,45,PM10,BAIK
2015-02-06,DKI2 (Kelapa Gading),30,4,26,29,13,30,PM10,BAIK
2015-02-07,DKI2 (Kelapa Gading),32,4,30,31,15,32,PM10,BAIK
2015-02-08,DKI2 (Kelapa Gading),32,4,26,27,10,32,PM10,BAIK
2015-02-09,DKI2 (Kelapa Gading),27,3,32,28,14,32,CO,BAIK
2015-02-10,DKI2 (Kelapa Gading),23,3,34,30,11,34,CO,BAIK
2015-02-11,DKI2 (Kelapa Gading),52,4,58,28,11,58,CO,SEDANG
2015-02-12,DKI2 (Kelapa Gading),65,4,54,32,22,65,PM10,SEDANG
2015-02-13,DKI2 (Kelapa Gading),45,5,36,30,15,45,PM10,BAIK
2015-02-14,DKI2 (Kelapa Gading),51,5,57,35,13,57,CO,SEDANG
2015-02-15,DKI2 (Kelapa Gading),67,5,50,39,12,67,PM10,SEDANG
2015-02-16,DKI2 (Kelapa Gading),68,7,56,39,15,68,PM10,SEDANG
2015-02-17,DKI2 (Kelapa Gading),44,6,31,30,10,44,PM10,BAIK
2015-02-18,DKI2 (Kelapa Gading),55,19,40,38,19,55,PM10,SEDANG
2015-02-19,DKI2 (Kelapa Gading),31,6,27,36,12,36,O3,BAIK
2015-02-20,DKI2 (Kelapa Gading),52,24,39,30,12,52,PM10,SEDANG
2015-02-21,DKI2 (Kelapa Gading),78,12,60,62,27,78,PM10,SEDANG
2015-02-22,DKI2 (Kelapa Gading),60,7,37,44,23,60,PM10,SEDANG
2015-02-23,DKI2 (Kelapa Gading),50,6,32,35,15,50,PM10,BAIK
2015-02-24,DKI2 (Kelapa Gading),55,7,42,42,14,55,PM10,SEDANG
2015-02-25,DKI2 (Kelapa Gading),60,8,36,86,15,86,O3,SEDANG
2015-02-26,DKI2 (Kelapa Gading),71,10,33,113,18,113,O3,TIDAK SEHAT
